City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,74.25,clear sky,-23.1203,-134.9692,People ThankYou
11,Vestmannaeyjar,IS,50.34,overcast clouds,63.4427,-20.2734,Glamping & Camping
14,Namibe,AO,60.4,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
17,Penzance,GB,61.48,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
18,Jalu,LY,73.29,clear sky,29.0331,21.5482,صاحبة الفخامة
22,Astoria,US,59.86,overcast clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
23,Kodiak,US,51.31,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
24,Semirom,IR,53.71,clear sky,31.4167,51.5667,Motel Dena
28,Port Alfred,ZA,54.57,broken clouds,-33.5906,26.891,The Halyards Hotel
32,Busselton,AU,56.05,overcast clouds,-33.65,115.3333,Observatory Guest House
33,Puerto Ayora,EC,67.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
34,Saint-Philippe,RE,69.35,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Calca,PE,54.75,broken clouds,-13.3333,-71.95,Qasana Hotel Plaza Calca
38,Moron,AR,64.15,clear sky,-34.6534,-58.6198,Hotel Morón
39,Guerrero Negro,MX,70.48,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
41,Torbay,CA,61.57,broken clouds,47.6666,-52.7314,Gallows Cove
44,Haverfordwest,GB,63.16,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
45,Esmeraldas,BR,74.44,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
46,Isla Vista,US,70.68,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
49,Severo-Kurilsk,RU,54.3,clear sky,50.6789,156.125,Kak Doma
51,Jamestown,US,67.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Hobart,AU,57.25,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
60,Chimoio,MZ,64.26,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
68,Gravdal,NO,50.59,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
70,Cidreira,BR,60.35,broken clouds,-30.1811,-50.2056,Hotel Castelo
71,Half Moon Bay,US,71.74,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
73,Bani Walid,LY,69.69,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
74,New Norfolk,AU,56.91,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
80,Komsomolskiy,UZ,63.82,clear sky,40.4272,71.7189,Ikathouse
85,Cape Town,ZA,55.89,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
87,Broken Hill,AU,74.91,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
89,Panjakent,TJ,62.4,clear sky,39.4952,67.6093,Salom Hostel
92,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
93,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
94,Mahebourg,MU,70.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
95,Port Elizabeth,ZA,53.89,clear sky,-33.918,25.5701,39 On Nile Guest House
99,Chuy,UY,51.51,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
101,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Punto de encuentro
104,Bud,US,73.24,clear sky,39.447,-86.1758,Ted McQuinn Trust
106,Carnarvon,AU,64.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
108,Chaihe,CN,66.11,scattered clouds,44.7667,129.7,Fengyuan Hotel
109,Joshimath,IN,70.56,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
111,Sept-Iles,CA,54.03,clear sky,50.2001,-66.3821,Comfort Inn
113,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
114,Marystown,CA,56.08,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
115,Yarmouth,US,68.04,overcast clouds,41.7057,-70.2286,Blue Rock Resort
117,Vegreville,CA,52.5,overcast clouds,53.5001,-112.0518,Wild Rose Inn
119,Pisco,PE,61.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
120,Kibala,TD,73.35,thunderstorm,9.1104,18.3463,hotel safari
122,Ziezmariai,LT,51.89,overcast clouds,54.8,24.45,Dalios kaimo sodyba
127,Ancud,CL,50.43,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
128,Mount Gambier,AU,67.91,few clouds,-37.8333,140.7667,The Commodore
129,Iwanai,JP,69.98,light rain,42.9744,140.5089,いわない高原ホテル
130,Ust-Nera,RU,57.69,scattered clouds,64.5667,143.2,Hotel Ust-Nera
131,Mar Del Plata,AR,59.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
132,Taltal,CL,58.53,clear sky,-25.4,-70.4833,Residencial Karime
133,Sitka,US,53.49,light rain,57.0531,-135.33,Westmark Sitka
134,Palmer,US,70.41,overcast clouds,42.1584,-72.3287,Wedgewood Motel
135,Constitucion,CL,50.23,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
139,Yinchuan,CN,69.85,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
143,Norman Wells,CA,55.44,scattered clouds,65.282,-126.8329,Heritage Hotel
144,Esperance,AU,51.64,broken clouds,-33.8667,121.9,Hospitality Esperance
145,East London,ZA,56.46,few clouds,-33.0153,27.9116,Tu Casa
146,Souillac,MU,70.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
147,Codrington,AU,66.85,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
148,Warrington,GB,58.48,overcast clouds,53.3925,-2.5802,Patten Arms Hotel
149,Menongue,AO,60.39,few clouds,-14.6585,17.691,Ritz Lauca
150,Ullapool,GB,56.95,overcast clouds,57.8987,-5.1604,Argyll Hotel
153,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
155,Ulladulla,AU,70.88,clear sky,-35.35,150.4667,Sandpiper Motel
157,Port Macquarie,AU,67.96,clear sky,-31.4333,152.9167,Rydges Port Macquarie
158,Serzhen-Yurt,RU,62.46,broken clouds,43.1227,45.9858,Staraya Mel'nitsa
159,Chapais,CA,53.38,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
161,Mizdah,LY,69.35,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
164,Sitarganj,IN,74.12,overcast clouds,28.9333,79.7,OYO 37021 Hotel Sitar International
166,Bambous Virieux,MU,70.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
167,Grand Gaube,MU,70.2,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
168,Castro,BR,53.35,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
169,Alcudia,ES,73.2,clear sky,39.8532,3.1214,Zafiro Tropic
171,Tuktoyaktuk,CA,55.4,few clouds,69.4541,-133.0374,End of The Road Ltd.
172,Healdsburg,US,74.68,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
173,Tours,FR,57.25,overcast clouds,47.4167,0.6667,The Heraudiere bed and breakfast
174,Mattru,SL,71.82,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
175,Le Port,RE,69.76,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
177,Benguela,AO,70.88,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
178,Rocky Mountain House,CA,53.35,broken clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
179,Hamilton,US,73.89,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
180,Marawi,PH,72.64,broken clouds,7.9986,124.2928,Derogongan Residence
182,Arraial Do Cabo,BR,69.42,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
184,Esik,KZ,56.62,clear sky,43.3552,77.4525,"Gostevoy Dom ""Asyl Tau"""
185,Saint-Joseph,RE,68.36,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
186,Necochea,AR,56.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
190,El Alto,PE,62.33,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
191,Shaunavon,CA,51.58,overcast clouds,49.6501,-108.4181,Bear's Den Lodge
192,Whitehorse,CA,51.03,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
194,Williams Lake,CA,58.57,broken clouds,52.1415,-122.1445,Stampeder Motel
196,Manzhouli,CN,59.52,overcast clouds,49.6,117.4333,Angala International Youth Hostel
198,Birur,IN,70.61,broken clouds,13.6167,75.9667,"Sanghvi Devichandji Hulasidevi Vedmutha Bhawan, Birur"
203,Hohhot,CN,61.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
204,Kaeo,NZ,56.17,overcast clouds,-35.1,173.7833,Bushido Lodge
210,Shimoda,JP,71.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
214,Saint-Pierre,RE,69.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
216,Khandyga,RU,60.22,overcast clouds,62.6667,135.6,Apel'sin
221,Antofagasta,CL,56.48,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
222,Trelew,AR,60.37,broken clouds,-43.249,-65.3051,Hotel Touring Club
223,Southbridge,US,67.93,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
227,Vaxjo,SE,55.45,overcast clouds,56.8777,14.8091,Elite Stadshotellet Vaxjo
232,Fortuna,US,56.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
233,Vestmanna,FO,52.72,overcast clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
242,Hofn,IS,52.77,overcast clouds,64.2539,-15.2082,Hótel Höfn
243,Tarata,BO,63.07,overcast clouds,-17.6167,-66.0167,Alojamiento IV Centenario
244,Miandrivazo,MG,72.03,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
245,San Quintin,MX,68.29,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
