City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,84.52,73,1,3.0,light rain
1,Hithadhoo,MV,-0.6,73.0833,83.41,73,100,9.19,light rain
2,Togur,RU,58.3631,82.8265,52.34,91,100,11.34,overcast clouds
3,Mitsamiouli,KM,-11.3847,43.2844,75.6,79,74,10.04,broken clouds
4,Puerto Cabezas,NI,14.0351,-83.3888,79.34,87,65,7.52,broken clouds
5,Hatillo,PR,18.4863,-66.8254,81.82,91,3,11.41,clear sky
6,Hilo,US,19.7297,-155.09,82.13,76,40,11.5,light rain
7,Rikitea,PF,-23.1203,-134.9692,74.25,70,0,13.24,clear sky
8,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,3.44,broken clouds
9,Ushuaia,AR,-54.8,-68.3,35.26,69,75,11.5,broken clouds
10,Iralaya,HN,15.0,-83.2333,81.25,82,75,10.42,broken clouds
11,Vestmannaeyjar,IS,63.4427,-20.2734,50.34,80,100,24.11,overcast clouds
12,Butaritari,KI,3.0707,172.7902,82.67,71,70,15.03,broken clouds
13,Yatsushiro,JP,32.5,130.6,84.6,75,100,16.35,heavy intensity rain
14,Namibe,AO,-15.1961,12.1522,60.4,89,45,3.11,scattered clouds
15,Bengkulu,ID,-3.8004,102.2655,82.29,71,7,2.42,clear sky
16,Qaanaaq,GL,77.484,-69.3632,17.4,81,93,5.55,overcast clouds
17,Penzance,GB,50.1186,-5.5371,61.48,91,99,17.85,overcast clouds
18,Jalu,LY,29.0331,21.5482,73.29,45,0,9.46,clear sky
19,Salalah,OM,17.0151,54.0924,77.09,100,40,1.14,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,46.47,47,77,6.17,broken clouds
21,Bredasdorp,ZA,-34.5322,20.0403,48.27,93,3,1.14,clear sky
22,Astoria,US,46.1879,-123.8313,59.86,74,100,5.35,overcast clouds
23,Kodiak,US,57.79,-152.4072,51.31,93,90,8.05,light rain
24,Semirom,IR,31.4167,51.5667,53.71,31,0,1.43,clear sky
25,Faanui,PF,-16.4833,-151.75,79.2,69,0,21.16,clear sky
26,Abu Samrah,SY,35.3029,37.1841,66.09,81,0,5.3,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,37.51,93,90,8.05,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,54.57,73,57,17.18,broken clouds
29,Ust-Tsilma,RU,65.441,52.1498,39.45,70,100,9.31,overcast clouds
30,Husavik,IS,66.0449,-17.3389,48.11,80,100,11.48,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,42.03,94,88,2.59,overcast clouds
32,Busselton,AU,-33.65,115.3333,56.05,66,98,8.16,overcast clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,67.55,95,45,5.01,scattered clouds
34,Saint-Philippe,RE,-21.3585,55.7679,69.35,80,9,4.92,clear sky
35,Calca,PE,-13.3333,-71.95,54.75,79,68,5.28,broken clouds
36,Komsomolets,KZ,53.7453,62.0708,41.74,66,64,13.13,broken clouds
37,Yellowknife,CA,62.456,-114.3525,46.92,49,20,5.75,few clouds
38,Moron,AR,-34.6534,-58.6198,64.15,49,0,1.99,clear sky
39,Guerrero Negro,MX,27.9769,-114.0611,70.48,78,6,19.13,clear sky
40,Tual,ID,-5.6667,132.75,80.08,77,50,20.94,scattered clouds
41,Torbay,CA,47.6666,-52.7314,61.57,93,75,8.05,broken clouds
42,Pasni,PK,25.2631,63.471,82.45,71,0,8.59,clear sky
43,Tasiilaq,GL,65.6145,-37.6368,35.76,63,14,6.58,few clouds
44,Haverfordwest,GB,51.8017,-4.9691,63.16,90,100,15.28,overcast clouds
45,Esmeraldas,BR,-19.7625,-44.3139,74.44,61,44,8.66,scattered clouds
46,Isla Vista,US,34.4133,-119.861,70.68,68,1,8.05,clear sky
47,Kungurtug,RU,50.5994,97.5228,53.94,42,66,0.45,broken clouds
48,Bluff,NZ,-46.6,168.3333,46.8,54,74,15.64,broken clouds
49,Severo-Kurilsk,RU,50.6789,156.125,54.3,69,5,7.47,clear sky
50,Vaini,TO,-21.2,-175.2,82.56,83,20,11.5,few clouds
51,Jamestown,US,42.097,-79.2353,67.32,89,1,5.99,clear sky
52,Albany,US,42.6001,-73.9662,69.75,86,67,3.02,broken clouds
53,Hobart,AU,-42.8794,147.3294,57.25,56,40,3.0,scattered clouds
54,Mackay,AU,-21.15,149.2,78.04,60,2,9.22,clear sky
55,Tiksi,RU,71.6872,128.8694,39.06,89,100,13.62,overcast clouds
56,Henties Bay,NA,-22.116,14.2845,52.86,88,0,2.21,clear sky
57,Svetlogorsk,BY,52.6333,29.7333,47.93,86,100,12.77,light rain
58,Atuona,PF,-9.8,-139.0333,77.13,80,13,17.43,light rain
59,Cabo San Lucas,MX,22.8909,-109.9124,85.6,79,25,7.0,scattered clouds
60,Chimoio,MZ,-19.1164,33.4833,64.26,100,20,1.81,few clouds
61,Bouca,CF,6.5105,18.2733,68.36,99,100,4.27,moderate rain
62,Yeniseysk,RU,58.4497,92.1703,46.15,90,100,8.52,overcast clouds
63,Takoradi,GH,4.8845,-1.7554,75.07,95,31,6.58,scattered clouds
64,Juneau,US,58.3019,-134.4197,48.85,91,90,12.66,light rain
65,Ust-Ishim,RU,57.6935,71.1665,41.02,92,100,6.62,overcast clouds
66,Belyy Yar,RU,53.6039,91.3903,49.89,81,0,6.71,clear sky
67,Nizwa,OM,22.9333,57.5333,81.54,30,90,1.48,overcast clouds
68,Gravdal,NO,68.1214,13.5031,50.59,78,100,5.46,overcast clouds
69,Pundaguitan,PH,6.3711,126.1689,82.49,74,100,7.78,overcast clouds
70,Cidreira,BR,-30.1811,-50.2056,60.35,71,68,16.15,broken clouds
71,Half Moon Bay,US,37.4636,-122.4286,71.74,81,90,4.61,haze
72,Grootfontein,NA,-19.5667,18.1167,60.37,23,23,2.3,few clouds
73,Bani Walid,LY,31.7566,13.9942,69.69,58,0,3.98,clear sky
74,New Norfolk,AU,-42.7826,147.0587,56.91,43,11,3.24,few clouds
75,Tabou,CI,4.423,-7.3528,76.3,89,92,8.5,light rain
76,Anloga,GH,5.7947,0.8973,79.02,89,34,11.45,scattered clouds
77,Saskylakh,RU,71.9167,114.0833,33.94,97,100,19.3,light rain
78,Laramie,US,41.3114,-105.5911,75.13,16,20,11.5,few clouds
79,Ler,SS,8.3018,30.1418,70.59,98,99,4.45,light rain
80,Komsomolskiy,UZ,40.4272,71.7189,63.82,25,0,2.01,clear sky
81,Avarua,CK,-21.2078,-159.775,78.85,73,40,17.27,scattered clouds
82,Severnyy,RU,50.677,36.5532,42.84,70,0,2.24,clear sky
83,Lebu,CL,-37.6167,-73.65,48.43,89,15,6.02,few clouds
84,Nome,US,64.5011,-165.4064,49.15,66,40,5.75,scattered clouds
85,Cape Town,ZA,-33.9258,18.4232,55.89,73,0,4.0,clear sky
86,Dikson,RU,73.5069,80.5464,35.08,76,100,17.98,overcast clouds
87,Broken Hill,AU,-31.95,141.4333,74.91,25,40,20.71,scattered clouds
88,Kirkuk,IQ,35.4681,44.3922,77.85,30,0,6.38,clear sky
89,Panjakent,TJ,39.4952,67.6093,62.4,22,0,5.06,clear sky
90,Polyarnyy,RU,69.1989,33.4478,37.87,89,100,4.47,overcast clouds
91,Umba,RU,66.6871,34.3429,42.51,89,100,8.66,overcast clouds
92,Yulara,AU,-25.2406,130.9889,73.24,43,75,10.36,broken clouds
93,Hasaki,JP,35.7333,140.8333,73.8,62,100,12.73,overcast clouds
94,Mahebourg,MU,-20.4081,57.7,70.09,94,75,3.44,light intensity shower rain
95,Port Elizabeth,ZA,-33.918,25.5701,53.89,71,0,14.97,clear sky
96,Chokurdakh,RU,70.6333,147.9167,41.65,76,100,3.6,overcast clouds
97,Shingu,JP,33.7333,135.9833,76.91,87,100,6.69,overcast clouds
