City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Skogn,NO,2021-09-16 01:37:14,63.7,11.2,47.98,80,100,3.04
1,Bredasdorp,ZA,2021-09-16 01:36:34,-34.5322,20.0403,47.52,93,70,2.3
2,Victoria,HK,2021-09-16 01:36:48,22.2855,114.1577,88.32,80,99,7.9
3,Ribeira Grande,PT,2021-09-16 01:37:14,38.5167,-28.7,71.29,77,8,6.67
4,La Peca,PE,2021-09-16 01:37:14,-5.6111,-78.435,68.67,81,22,4.18
5,Mataura,NZ,2021-09-16 01:37:15,-46.1927,168.8643,48.47,78,99,3.27
6,Airai,TL,2021-09-16 01:37:15,-8.9266,125.4092,76.37,44,56,5.37
7,Jamestown,US,2021-09-16 01:37:15,42.097,-79.2353,60.44,91,1,2.35
8,Pevek,RU,2021-09-16 01:37:15,69.7008,170.3133,31.23,70,100,12.35
9,Yellowknife,CA,2021-09-16 01:36:30,62.456,-114.3525,46.92,71,75,18.41
10,Arraial Do Cabo,BR,2021-09-16 01:32:21,-22.9661,-42.0278,73.36,94,75,11.5
11,Bengkulu,ID,2021-09-16 01:37:16,-3.8004,102.2655,81.81,73,23,3.38
12,Iqaluit,CA,2021-09-16 01:36:03,63.7506,-68.5145,35.33,93,75,0.0
13,San Cristobal,VE,2021-09-16 01:37:16,7.7669,-72.225,77.18,88,3,2.8
14,Rikitea,PF,2021-09-16 01:35:30,-23.1203,-134.9692,73.94,67,1,14.34
15,Dunedin,NZ,2021-09-16 01:37:16,-45.8742,170.5036,45.25,82,100,6.51
16,Georgetown,MY,2021-09-16 01:33:54,5.4112,100.3354,83.89,80,20,2.3
17,Calbuco,CL,2021-09-16 01:37:17,-41.768,-73.1273,49.21,85,100,11.03
18,Tessalit,ML,2021-09-16 01:36:52,20.1986,1.0114,87.1,35,1,6.69
19,Palmer,US,2021-09-16 01:37:17,42.1584,-72.3287,73.8,82,75,0.0
20,Thompson,CA,2021-09-16 01:33:23,55.7435,-97.8558,55.56,88,75,3.44
21,Cabo San Lucas,MX,2021-09-16 01:36:13,22.8909,-109.9124,87.1,76,1,1.01
22,New Norfolk,AU,2021-09-16 01:37:17,-42.7826,147.0587,56.71,41,9,1.23
23,Bluff,NZ,2021-09-16 01:37:17,-46.6,168.3333,48.79,61,82,12.55
24,Sao Filipe,CV,2021-09-16 01:37:18,14.8961,-24.4956,80.13,83,37,4.81
25,Kohat,PK,2021-09-16 01:36:34,33.582,71.4493,78.87,58,0,3.06
26,Narsaq,GL,2021-09-16 01:37:18,60.9167,-46.05,35.82,54,10,4.61
27,Altay,CN,2021-09-16 01:37:18,47.8667,88.1167,66.29,13,88,2.89
28,Ranong,TH,2021-09-16 01:37:18,9.9658,98.6348,76.93,85,99,3.44
29,Albany,US,2021-09-16 01:35:32,42.6001,-73.9662,67.87,94,100,1.61
30,Lagoa,PT,2021-09-16 01:37:19,39.05,-27.9833,69.94,77,7,5.99
31,Coihaique,CL,2021-09-16 01:37:19,-45.5752,-72.0662,46.35,81,90,0.0
32,Hilo,US,2021-09-16 01:35:38,19.7297,-155.09,82.13,81,90,14.97
33,Khatanga,RU,2021-09-16 01:35:25,71.9667,102.5,36.43,99,100,12.88
34,Mayo,US,2021-09-16 01:37:19,38.8876,-76.5119,81.09,89,1,5.01
35,Sabha,LY,2021-09-16 01:37:20,27.0377,14.4283,74.35,31,0,10.42
36,Dikson,RU,2021-09-16 01:37:21,73.5069,80.5464,37.72,97,100,26.73
37,Ushuaia,AR,2021-09-16 01:35:24,-54.8,-68.3,28.06,100,75,17.27
38,Tucuman,AR,2021-09-16 01:37:21,-26.8241,-65.2226,60.8,44,0,0.0
